icao24,origin_country,pos_time,longitude,latitude,velocity,retrieved_time,pos_date,pos_country,pos_city
39de4f,France,2026-03-06 10:49:54+00:00,17.9232,59.6548,8.75,2026-03-06 10:49:55+00:00,2026-03-06,SE,Märsta
80162c,India,2026-03-06 10:49:54+00:00,76.7852,28.5444,243.34,2026-03-06 10:49:55+00:00,2026-03-06,IN,Pāsaur
4b1819,Switzerland,2026-03-06 10:49:54+00:00,17.3561,58.5276,200.29,2026-03-06 10:49:55+00:00,2026-03-06,SE,Oxelösund
e8027e,Chile,2026-03-06 10:49:22+00:00,-71.117,-34.7186,209.03,2026-03-06 10:49:55+00:00,2026-03-06,CL,Chimbarongo
408124,United Kingdom,2026-03-06 10:49:54+00:00,-4.601,38.897,223.38,2026-03-06 10:49:55+00:00,2026-03-06,ES,Saceruela
88044e,Thailand,2026-03-06 10:49:54+00:00,100.78,13.7637,77.36,2026-03-06 10:49:55+00:00,2026-03-06,TH,Lat Krabang
408121,United Kingdom,2026-03-06 10:49:54+00:00,-6.9576,50.2017,249.62,2026-03-06 10:49:55+00:00,2026-03-06,GB,Hugh Town
88044d,Thailand,2026-03-06 10:49:14+00:00,100.7635,13.701,68.87,2026-03-06 10:49:55+00:00,2026-03-06,TH,Lat Krabang
801641,India,2026-03-06 10:46:15+00:00,77.533,13.2085,79.24,2026-03-06 10:49:55+00:00,2026-03-06,IN,Doddaballapura
488284,Poland,2026-03-06 10:48:24+00:00,21.3775,53.3207,48.33,2026-03-06 10:49:55+00:00,2026-03-06,PL,Myszyniec
3ffc0f,Germany,2026-03-06 10:49:54+00:00,12.0554,50.4138,86.52,2026-03-06 10:49:55+00:00,2026-03-06,DE,Weischlitz
ade191,United States,2026-03-06 10:49:54+00:00,-84.584,31.368,207.97,2026-03-06 10:49:55+00:00,2026-03-06,US,Arlington
880454,Thailand,2026-03-06 10:49:54+00:00,101.2648,3.1791,198.27,2026-03-06 10:49:55+00:00,2026-03-06,MY,Kampong Dungun
880453,Thailand,2026-03-06 10:49:55+00:00,102.1546,15.6133,203.69,2026-03-06 10:49:55+00:00,2026-03-06,TH,Ban Lueam
80162e,India,2026-03-06 10:48:12+00:00,100.7395,13.7041,66.01,2026-03-06 10:49:55+00:00,2026-03-06,TH,Lat Krabang
3ffc20,Germany,2026-03-06 10:49:54+00:00,9.6732,53.6379,35.73,2026-03-06 10:49:55+00:00,2026-03-06,DE,Holm
39de51,France,2026-03-06 10:49:54+00:00,2.2747,48.6715,186.58,2026-03-06 10:49:55+00:00,2026-03-06,FR,La Ville-du-Bois
a6fe23,United States,2026-03-06 10:49:54+00:00,0.1165,48.8288,144.49,2026-03-06 10:49:55+00:00,2026-03-06,FR,Trun
39de50,France,2026-03-06 10:49:55+00:00,-8.5841,41.9431,201.7,2026-03-06 10:49:55+00:00,2026-03-06,PT,Paredes de Coura
39de53,France,2026-03-06 10:49:53+00:00,-15.6996,29.8526,232.59,2026-03-06 10:49:55+00:00,2026-03-06,ES,Tegueste
880457,Thailand,2026-03-06 10:49:41+00:00,99.8139,18.9006,196.74,2026-03-06 10:49:55+00:00,2026-03-06,TH,Ngao
39de54,France,2026-03-06 10:49:54+00:00,4.462,49.4563,212.21,2026-03-06 10:49:55+00:00,2026-03-06,FR,Rethel
e49405,Brazil,2026-03-06 10:45:08+00:00,-39.8302,-16.845,248.3,2026-03-06 10:49:55+00:00,2026-03-06,BR,Guaratinga
